P00001606T0076|14 37|alkaline phosphatases and 5
P00432615A0541|85 103|bovine gammaglobulin
P00445259T0000|0 12|Serum ferritin
P00453780A0430|20 22|IgA
P00454780A0340|81 84|Ta 6 V
P00464387A1185|30 32|IgE
P00465681A0000|7 16|hemoglobin
P00474064A0205|130 136|R 39 209 5
P00488534A0308|97 114|taurine-injected MR
P00488534A0308|132 148|saline-injected MR
P00497494A0112|32 36|PACO2
P00499588T0000|49 55|insulin
P00503336A0285|81 99|alkaline phosphatase
P00506649T0000|19 40|serum protein components
P00512215A0000|60 61|f2
P00512215A0000|139 140|L2
P00512215A0000|139 140|L2
P00512215A0000|136 137|L1
P00521732T0000|27 43|oestradiol-17 beta
P00521732T0000|81 97|steroid sulphatase
P00528144T0000|11 21|transferrin
P00528144T0000|44 53|tumor cells
P00534613A0000|13 31|human blood platelets
P00534613A0000|95 102|collagen
P00534613A0000|36 39|UV-A
P00565136T0000|55 58|CH2O
P00565136T0000|70 72|Br2
P00569989A0239|105 107|dPn
P00577440A0298|61 81|H-alpha-acetyldigoxin
P00593119T0001|42 44|IgE
P00593119T0001|42 44|IgE
P00594617A0192|57 87|fibrinolytic degradation products
P00601401A0181|6 15|hemoglobin
P00601401A0181|104 106|Po2
P00603783A0647|13 15|IgG
P00603783A0647|19 21|IgM
P00606849T0000|41 53|thromboxane A2
P00618078A0367|14 21|lysozyme
P00619782A0058|94 97|UV-A
P00622556A0111|16 23|collagen
P00627129A0944|165 191|alpha-and beta-adrenoceptors
P00635143T0001|8 19|strontium-90
P00637637T0000|3 17|multiple factors
P00656008T0000|41 59|superoxide dismutase
P00668122A0414|101 122|liver ferritin molecules
P00696858A0000|11 36|pure natural porcine secretin
P00701462A0722|0 14|Urine antibodies
P00704675A0199|9 11|UO2
P00712117A0521|16 25|influenza A
P00712117A0521|79 82|1/77
P00715753A0241|10 14|CK-MB
P00716366T0001|22 50|alkaline phosphatase isoenzymes
P00725257A0452|13 15|pD2
P00725534A0888|66 79|IgA immunocytes
P00725534A0888|66 68|IgA
P00753237A0000|90 93|PAIN
P00753237A0000|162 164|PPU
P00759049A0185|93 96|ICSH
P00779272T0001|20 29|antibodies
P00792847A0000|21 42|antilymphocyte globulin
P00812183T0000|0 23|Dialyzable transfer factor
P00818380A0239|0 15|Rheumatoid factor
P00818380A0239|118 138|rheumatoid populations
P00818380A0239|19 37|antinuclear antibody
P00830568A0000|191 197|STG-BII
P00837811A0675|61 73|gamma globulin
P00846559A0000|187 194|T-2 toxin
P00866577A0579|21 41|plasminogen activators
P00868301A0043|42 58|-benzylidenamio-1
P00877857A0763|0 11|Serum amylase
P00879329A0176|88 90|Pci
P00879329A0176|148 150|IIp
P00881630A0000|90 104|Phospholipase-A
P00898500A0246|143 153|IgE antibody
P00918556A0000|40 44|HBsAg
P00918556A0000|49 56|anti-HBs
P00918965A0728|171 174|PAO2
P00920381T0000|9 23|cardiac glycogen
P00930947A0629|78 80|PZA
P00932738A0116|30 35|60 mmHg
P00932738A0116|25 26|BP
P00932738A0116|37 39|C02
P00932817A0499|0 9|Iodine-123
P00947327A0000|266 267|N1
P00947327A0000|155 157|TMP
P00947834X0000|13 15|IgE
P00954819A1041|128 131|AChE
P00956554A0414|95 107|IgE antibodies
P00959656A0250|39 53|antithrombin III
P00962222A0633|67 77|erythrocyte
P00970320A0000|64 66|SO2
P00970488A0105|75 84|DA receptor
P00985279A0493|15 24|hemoglobin
P00985279A0493|91 98|CO2 group
P00988572A0000|36 39|PLO2
P00989973A0000|106 114|endotoxin
P00993176A0066|35 44|hemoglobin
P00993176A0066|139 141|SO4
P00993176A0066|35 44|hemoglobin
P01019207A0232|87 89|lgC
P01021091T0000|74 90|--phenylalanine-8
P01021091T0000|110 120|Octapressin
P01048968A0152|108 121|beta-lactamase
P01078982A0227|69 90|antilymphocyte globulin
P01082726A0248|44 49|DC-ERG
P01083375T0000|0 17|Alpha-1 antitrypsin
P01083784T0000|25 32|serum IgE
P01090210A0417|196 198|H20
P01090210A0417|196 198|H20
P01093845A0208|27 33|Delta-9
P01098592A0567|0 2|IgG
P01107226A0808|8 20|amphotericin B
P01116466A0185|0 13|Thromboplastin
P01116466A0185|45 52|thrombin
P01119658A0000|205 207|N2A
P01119658A0000|211 213|N2B
P01125117A0183|11 35|44 type I attacks and 29 type II
P01130531A0224|71 73|CBF
P01138330A0204|40 47|0.9% Na C1
P01156631A0658|57 59|mEq
P01156631A0658|57 59|mEq
P01158512T0000|0 8|Glucose-6
P01168607A0672|26 44|fat-soluble vitamins
P01168607A0672|104 117|serum vitamins A
P01172734T0035|15 22|HL-A W-27
P01206772T0000|21 31|lymphocytes
P01208811T0001|33 45|plutonium-239
P01224116A0576|35 54|serum immunoglobulins
P01224116A0576|63 65|IgG
P01228882A0437|63 80|CSF immunoglobulins
P01243628A0286|44 65|blood carboxyhemoglobin
P01249198A1097|3 10|serum FT3
P01256410T0001|16 31|factor II molecule
P01279352A0297|8 10|PAL
P01279352A0297|27 38|10 bp sequence
P01279352A0473|40 58|non-neural cell lines
P01279352A0473|124 142|PROX and PAL sequences
P01279352A1197|110 123|promoter region
P01279352A1197|133 162|beta-galactosidase reporter gene
P01279374A0396|90 123|carboxy-terminal truncation of PET122
P01280807A0575|18 22|MetRS
P01280807A0575|80 84|ThrRS
P01280807A0575|86 103|CGU operator complex
P01280807A0575|24 41|CAU operator complex
P01281472T0000|20 29|glycogenin
P01281771T0000|21 29|human gene
P01281771T0000|38 50|cytokeratin 17
P01284595A0102|54 64|Y-231 cosmid
P01284595A0102|77 92|CpG rich sequences
P01284828T0001|0 25|Tissue plasminogen activator
P01285807A0365|99 103|PaCO2
P01286732A0572|36 42|enzymes
P01295373A0651|65 66|SE
P01296815A0059|11 24|third human gene
P01296815A0059|42 50|LD78 gamma
P01296815A0059|31 34|LD78
P01297332A0983|44 47|SCBs
P01297332A0983|151 167|regulatory element
P01297332T0000|21 31|DNA sequence
P01300914A1066|191 194|ACRV
P01301171A0979|15 22|enhancer
P01301171A0979|58 68|chromosome 8
P01301171A0979|35 39|c-myc
P01309244A0798|34 44|-403 and -125
P01309244A0798|125 144|heterologous promoter
P01309587A0715|31 43|BMRF1 promoter
P01309587A0715|51 55|c-myb
P01309587A0715|118 129|c-myb protein
P01309587A0715|101 108|Z protein
P01309587A0715|49 49|Z
P01309593A0095|3 17|UCR core sequence
P01309593A0095|89 100|MuLV promoter
P01309593A0095|35 57|ubiquitous nuclear factor
P01309593A1092|20 24|UCRBP
P01309593A1092|85 126|adeno-associated virus P5 promoter and elements
P01309593A1092|190 210|ribosomal protein genes
P01309593A1092|132 170|immunoglobulin light- and heavy-chain genes
P01309593A1092|73 80|UCR motif
P01309815A0972|130 132|AEP
P01309860A0559|103 115|mouse L1 family
P01309894A0807|4 8|Rep78
P01309894A0807|12 41|Rep68 cut the terminal AAV sequence
P01309910A0428|38 55|TAR-binding protein
P01309910A0428|74 85|CREB2 protein
P01310154A0879|33 51|C-terminal mutations
P01310154A0879|89 98|FBR protein
P01310154A0879|89 98|FBR protein
P01310178A0876|30 34|gp0.7
P01310178A0876|144 159|C-terminal domain
P01310899A0339|38 69|cysteine-rich extracellular domain
P01310899A0339|140 160|threonine kinase domain
P01310899A0339|78 107|hydrophobic transmembrane domain
P01310935T0000|0 14|Drosophila UbcD1
P01310935T0000|23 64|highly conserved ubiquitin-conjugating enzyme
P01312005A0600|49 52|MDP1
P01312005A0600|103 138|L-strand sequence-specific target sites
P01313715A0461|84 87|rp47
P01313715A0461|104 134|U937 human hematopoietic cell lines
P01313715A0461|143 190|Epstein-Barr virus transformed B-lymphocyte cell line
P01313715A0461|97 100|HL60
P01313846A0850|63 91|immunoglobulin gene superfamily
P01313846A0850|159 182|carcinoembryonic Ag family
P01313846A0850|212 237|neural cell adhesion molecule
P01313846A0850|187 204|poliovirus receptor
P01313846A0850|140 145|MUC-18
P01313894A1179|54 62|LMP2B mRNA
P01313909A0526|18 21|ICP0
P01313909A0526|18 21|ICP0
P01314841A0724|48 50|EEG
P01314953A1266|60 63|HAP2
P01314953A1266|66 69|HAP3
P01315706A0000|67 85|rat L6 muscle cell line
P01316125A0176|38 39|O2
P01316125A0176|152 155|BHPD
P01316125A0176|38 39|O2
P01316125A0176|71 74|YHPD
P01316125A0382|54 57|YHPD
P01316125A0382|54 57|YHPD
P01316125A0382|82 83|O2
P01316125A0382|82 83|O2
P01316125A0382|188 191|BHPD
P01316125A0382|82 83|O2
P01316461A1083|6 31|vitro-synthesized S2 protein
P01316461A1083|23 24|S2
P01316476A0842|13 25|TATA sequences
P01316476A0842|53 80|VZV transcriptional start sites
P01316476A1428|3 10|ORF 4 gene
P01316476A1428|40 48|ORF 62 gene
P01316680A0643|17 22|IR5 ORF
P01316680A0643|101 124|consensus zinc finger motif
P01316900A0000|3 13|DNA sequence
P01316900A0000|60 63|K-12
P01316903A0296|25 39|RNA polymerase II
P01316903A0296|96 98|IIO
P01316903A0296|52 54|IIA
P01316903A1040|0 15|RNA polymerase IIA
P01316903A1040|0 15|RNA polymerase IIA
P01317376A0981|0 11|Fructokinase
P01318310A0000|0 14|Plasma membranes
P01318310A0000|37 57|high affinity receptors
P01318310A0000|17 29|cultured cells
P01320255A0795|74 83|L1 sequence
P01320255A0795|158 164|human L1
P01320255A0795|90 102|nuclear factor
P01320640A0336|0 9|Tumor cells
P01320640A0336|61 67|insulin
P01320640A0336|38 59|neuron-specific enolase
P01321277A0342|52 58|SRC x ROS
P01321277A0342|141 143|UR2
P01321277A0342|60 94|transformed chicken embryo fibroblasts
P01321277A0664|4 6|SRC
P01321277A0664|66 84|transmembrane domain
P01321277A0664|0 0|R
P01321280A0494|31 32|E6
P01321280A0494|61 65|BPV-1
P01321280A0494|175 190|E7 fusion proteins
P01321280A0494|165 171|BPV-1 E6
P01321280A0494|36 49|E7 gene products
P01321332A0970|106 127|apoAI gene basal promoter
P01321332A0970|241 245|ARP-1
P01321332A0970|130 152|human hepatoma HepG2 cells
P01321336A0731|19 26|ALF1 cDNA
P01321337A0318|34 51|molecular mass 16 kDa
P01321337A0318|165 175|calcineurin
P01321337A0318|165 175|calcineurin
P01321337A1161|26 50|MATa cna1 cna2 double mutants
P01321337A1161|52 66|MATa cnb1 mutants
P01324385A0329|8 20|IgG antibodies
P01324385A0329|29 38|anti-HHV-6
P01324404A0813|1 36|position-independent activation domain
P01324404A0813|114 129|HNF-3 beta protein
P01324404A0813|93 108|carboxyl terminus
P01324404A1208|0 31|HNF-3 beta amino-terminal sequences
P01324404A1208|139 156|region II-III domain
P01325221A0870|18 27|DU249 cells
P01325221A0870|104 115|p41 MAP kinase
P01325221A0870|59 84|M-phase-activated MBP kinase
P01325386A0766|3 6|hit1
P01326329A0703|3 19|319 base pair region
P01326329A0703|78 92|proximal TATA box
P01326329A0703|224 227|GREs
P01326329A0703|266 269|CREs
P01326329A0703|240 264|cyclic AMP response elements
P01326329A0703|193 222|glucocorticoid response elements
P01326329A0703|44 50|CAP site
P01327758A0000|77 85|E1 protein
P01327758A0000|92 111|full-length E2 protein
P01328197A0985|91 93|ras
P01328219A1397|0 5|NSCL-1
P01328219A1397|39 47|cell lines
P01328681A0149|6 24|LTR-binding proteins
P01328681A0149|6 24|LTR-binding proteins
P01328854T0000|7 15|MEF-2 site
P01328854T0000|78 99|muscle-specific subunit
P01328854T0000|138 166|skeletal and cardiac muscle cells
P01328854T0000|105 135|human phosphoglycerate mutase gene
P01328854T0000|24 48|positive regulatory element
P01328884T0000|40 58|MHC class II molecules
P01329039A0239|11 24|E-box consensus
P01329039A0239|86 111|E-boxes are variable for genes
P01329039A0239|126 137|bHLH proteins
P01329039A0239|45 50|CANNTG
P01329039A0951|47 58|TnI enhancers
P01329039A0951|97 105|E-box site
P01329039A0951|115 128|Ig kappa E2 E-box
P01329039A0951|69 75|E-boxes
P01330077A0000|0 17|T-cell receptor beta
P01330309A1134|3 14|CANNTG motifs
P01330309A1134|37 58|myogenin fusion proteins
P01330309A1134|30 33|MyoD
P01331057A0000|24 28|COX12
P01331057A0000|82 99|cytochrome c oxidase
P01331057A0000|33 43|nuclear gene
P01331060A0768|17 28|calcineurin A
P01331060A0768|63 85|genomic and cDNA sequences
P01331086T0000|3 23|basal promoter elements
P01331086T0000|72 98|tandemly duplicated ets motifs
P01331086T0000|109 140|GABP-related transcription factors
P01331086T0000|26 58|murine cytochrome c oxidase subunit IV
P01331501A0397|49 68|pRB-binding sequences
P01331501A0397|105 108|p107
P01331501A0397|121 124|p130
P01331501A0397|110 116|cyclin A
P01331501A0397|71 73|E1A
P01331516A0103|115 125|C2 myoblasts
P01332964A0247|3 17|minimal promoter
P01332964A0247|50 75|adjacent functional elements
P01332964A0247|23 33|RII beta gene
P01333035T0000|10 28|cAMP receptor protein
P01333035T0000|59 86|Escherichia coli RNA polymerase
P01333035T0000|45 56|alpha subunit
P01333047A0404|14 34|epidermal growth factor
P01333047A0404|91 101|murine cells
P01333047A0404|126 135|Nck protein
P01333047A0404|37 64|platelet-derived growth factor
P01333125A0000|118 137|5' untranslated region
P01333317A1008|38 40|Sp1
P01333317A1008|98 102|PRF-I
P01334428A1102|52 54|Glu
P01334493A0289|20 23|HGFr
P01334493A0289|81 107|membrane-associated receptor
P01334493A0289|20 22|HGF
P01337142A2043|8 45|human glycoprotein alpha-subunit promoter
P01337142A2043|70 89|GH4 rat pituitary cells
P01337142A2043|65 67|FSK
P01339373T0000|77 93|SNF1 protein kinase
P01339391A0000|56 60|HRAS1
P01339468A0272|3 13|ORF1 protein
P01339468A0272|139 164|carlavirus-encoded proteins
P01339773A0778|44 45|O2
P01339773A0778|49 51|CO2
P01339815A1545|31 33|VO2
P01340470A0000|2 23|RNA-binding protein gene
P01340470A0000|67 85|RNA recognition motif
P01340470A0000|25 28|rbp1
P01346262A0377|66 68|UC9
P01346262A0377|72 81|mutant UC21
P01346534T0000|43 77|leucine-responsive regulatory protein
P01347476T0000|12 60|mouse ornithine decarboxylase-related sequence family
P01347664A1026|50 56|CAD mRNA
P01347944A0964|37 68|homeodomain binding site II sequence
P01348504A0757|11 30|alpha-primase complex
P01348508A0313|33 39|introns
P01348508A0313|33 39|introns
P01348508A0313|153 160|TGM1 gene
P01348590A0000|125 127|CD4
P01349837T0000|0 9|cDNA clones
P01349837T0000|47 74|mitochondrial chaperonin HSP60
P01350780A0184|72 107|Escherichia coli gamma-glutamyl kinases
P01350932A1123|44 53|C-terminus
P01350932A1123|85 87|Cys
P01352113A0231|62 64|NO2
P01352113A0231|118 123|m-3 NO2
P01357190A0726|38 57|membrane anchor domain
P01357190A0726|119 121|CD4
P01357190A0726|67 85|mutant glycoproteins
P01357528A0084|3 16|subunit protein
P01357528A0084|63 68|SEF-17
P01357528A0084|3 16|subunit protein
P01357528A0084|48 60|amino terminus
P01358190A0654|17 28|DR1 beta chain
P01358190A0654|33 40|H-2E beta
P01358758A0000|61 76|sequence elements
P01358758A0000|149 189|beta-cell-specific transcriptional enhancer
P01358758A0000|81 98|Far and FLAT elements
P01358880A0251|52 88|human cellular transglutaminase sequence
P01359588A0375|62 80|neuron-like elements
P01360180A0513|59 73|wild-type kinase
P01360180A0513|135 151|catalytic domain II
P01360180A0513|111 129|nonfunctional kinase
P01360180A1568|27 42|P68 amino terminus
P01360294A0000|104 118|antithrombin III
P01370281A0461|26 41|open reading frame
P01371181A0688|26 35|pLS1 family
P01371181A0688|43 49|pADB201
P01371181A0688|54 57|pLB4
P01371181A0688|37 41|pE194
P01371272A1167|72 94|yeast DNA polymerase alpha
P01371413A0742|14 23|hGCSFR gene
P01371413A0742|134 154|radiolabeled cDNA probe
P01371413A0742|104 125|rodent-human hybrid DNAs
P01372802A1481|138 165|erythrocyte-bound C3 fragments
P01372802A1481|178 209|corresponding fluid-phase fragment
P01372900A0448|5 9|exons
P01372900A0448|30 35|exons 9
P01372900A1017|72 88|transcription unit
P01373374A0735|52 61|G-box motif
P01373374A0735|74 77|GBF3
P01373374A0735|104 122|palindromic sequence
P01373374A0735|67 70|GBF1
P01374331A0636|29 52|transcriptional start site
P01374392A0341|23 27|NHE-3
P01374392A0341|57 61|NHE-2
P01374392A0341|49 53|NHE-1
P01374398A0951|10 27|translation protein
P01374398A0951|40 43|cDNA
P01375224A0152|41 45|v-Crk
P01375224A0152|121 136|cellular proteins
P01375224A0152|71 94|chicken embryo fibroblasts
P01375913A0484|53 64|U14 snRNA gene
P01375913A0484|94 120|T7 RNA polymerase promoter site
P01377696A0000|3 41|chick axon-associated surface glycoprotein
P01377818A0468|81 88|EBP alpha
P01377962A1012|18 21|GS-2
P01378052A0594|7 10|acoR
P01378052A0594|153 189|NtrC and NifA upstream activator sequences
P01378052A0594|14 20|acoXABC
P01378431A0202|10 12|Hsu
P01378506A0884|16 34|full-deletion mutant
P01380062A0097|0 7|T antigen
P01380454A0451|24 37|protein product
P01380454A0451|85 103|Fos-Jun heterodimers
P01380454A0451|125 144|Hela cell AP-1 proteins
P01380454A0451|200 208|NF-kappa B
P01380454A0451|228 230|ATF
P01380454A0451|232 241|CREB family
P01380454A0451|210 212|Myb
P01380454A0451|171 190|transcription factors
P01380454A0451|105 121|Jun-Jun homodimers
P01380454A0451|43 51|ref-1 gene
P01380825A0622|43 56|-kilobase mRNAs
P01380825A0622|75 78|cDNA
P01383690A1023|3 14|ARG SH2 domain
P01383690A1023|105 116|ABL SH2 domain
P01383690A1023|49 51|BCR
P01383695A0100|12 25|EBV B-cell clone
P01383695A0100|79 98|IgM kappa and IgM lambda
P01383695A0100|27 31|E29.1
P01384040A1043|110 123|wild-type pCF10
P01384229A0175|44 53|chicken ICS
P01384229A0175|105 113|BF-IV gene
P01384229A0175|239 245|pBLCAT2
P01384229A0175|167 182|herpes TK promoter
P01384229A0175|83 99|upstream sequences
P01386897A0000|7 16|yeast cells
P01386897A0000|94 95|G1
P01386897A0000|128 131|CLN2
P01386897A0000|121 124|CLN1
P01386897A0000|65 75|CDC28 kinase
P01387105A0933|88 105|somatic cell hybrids
P01387105A0933|175 179|Cycb1
P01389573A1071|0 3|TBPf
P01389573A1071|82 83|P2
P01389573A1071|90 91|A2
P01389573A1071|87 88|A1
P01389573A1071|79 80|P1
P01392277A0000|113 132|KOK regulations--1972
P01394200A0592|137 140|CD25
P01394200A0592|142 161|interleukin 2 receptor
P01396572A0320|28 32|pUC19
P01396572A0320|28 32|pUC19
P01396583A0204|1 11|cDNA library
P01396583A0204|42 71|interleukin 2 gene-specific probe
P01396583A0204|14 24|tumour cells
P01396592A1113|28 34|SCL gene
P01396592A1113|97 110|SCL gene product
P01396592A1113|53 86|erythroid transcription factor GATA-1
P01396601A0986|14 27|lumenal domains
P01398068A0948|37 42|his175
P01398068A0948|98 111|RGC DNA sequence
P01398068A0948|45 67|his273 mutant p53 proteins
P01398071A0526|77 80|BRF1
P01398073A0986|42 65|multisubunit TFIID protein
P01398073A0986|134 150|TATA-less promoter
P01398073A0986|109 125|activation domains
P01398074A0697|75 88|RNase MRP enzyme
P01398074A1081|3 17|RNase MRP RNA gene
P01398074A1081|3 7|RNase
P01398098A0770|0 17|Clone pSRc200 hybrid
P01398104A0834|17 21|CBF-A
P01398104A0834|76 106|repressive transcriptional factor
P01398104A0834|48 65|RNA-binding protein
P01398106A0754|13 32|intron-encoded enzyme
P01398106A0754|63 81|intron insertion site
P01398106A0754|56 57|3'
P01398106A0754|34 39|I-CreI
P01398140A0488|23 28|U7 gene
P01398140A0488|85 96|24 bp upstream
P01398140A0488|139 155|150-200 bp upstream
P01398140A0488|104 106|PSE
P01398140A0488|48 68|octamer-binding motifs
P01399206A0375|35 45|collagenase
P01400217T0000|29 44|IncP alpha plasmid
P01400217T0000|65 68|traG
P01400217T0000|58 61|traF
P01400217T0000|58 61|traF
P01400396A1265|109 126|protein kinase C beta
P01400401A0065|13 32|AMP deaminase variants
P01400401A0854|128 136|AMPD3 cDNA
P01402647A0114|0 11|DR1 molecules
P01402647A0114|24 51|human lymphoblastoid cell lines
P01404401A0740|9 21|ATPase cluster
P01404401A0740|85 99|chloroplast gene
P01404612A0303|10 28|recombinant human Ads
P01406630A0545|50 66|consensus sequence
P01406630A0545|92 121|homodimeric Rel-related proteins
P01406630A0965|12 14|p50
P01406630A0965|30 40|kappa B motif
P01406630A0965|139 167|heterodimeric NF-kappa B complex
P01406630A0965|18 20|p65
P01406656A1075|9 19|cosmid clone
P01406656A1075|129 139|fibroblasts
P01406656A1075|154 165|oncogenic ras
P01406656A1075|85 86|3'
P01406677A0000|82 99|human myoglobin gene
P01406677A0000|190 213|transcriptional start site
P01406677A0000|231 244|luciferase gene
P01406677A0000|132 148|upstream sequences
P01406688A0898|98 116|amino acids 663 and 684
P01406703A1435|12 28|Y1 cell cDNA library
P01406703A1435|58 91|H-2RIIBP nuclear hormone receptor cDNA
P01406703A1435|136 153|steroidogenic cells
P01406703A1435|18 21|cDNA
P01406703A1435|36 52|DNA-binding region
P01407286A0427|36 52|transplanted cells
P01407286A0427|146 164|tyrosine hydroxylase
P01408137A0974|82 94|200 bp upstream
P01408137A0974|102 105|mRNA
P01409581A0206|18 38|E26 virus-encoded v-ets
P01409643A0618|72 109|human immunodeficiency virus 1 TATA element
P01409643A0618|205 231|TATA element modulatory factor
P01409643A0618|139 153|cellular protein
P01413984A0737|99 100|A1
P01413984A0737|108 112|HbA1C
P01413984A0737|190 215|tissue plasminogen activator
P01413984A0737|144 158|antithrombin III
P01413984A0737|102 103|Lp
P01418542A0000|11 36|sodium 18 beta-glycyrrhetate
P01420177A1065|20 24|Val33
P01420177A1065|34 38|Gly28
P01420177A1065|81 94|protein kinases
P01420177A1065|28 30|Gly
P01420363A0818|51 55|c-Fos
P01420363A0818|120 136|nuclear AP1 factors
P01420363A0818|142 153|consensus TRE
P01420363A0818|142 153|consensus TRE
P01420363A0818|57 64|c-Jun AP1
P01420363T0000|13 15|AP1
P01420363T0000|75 94|metalloproteinases-1
P01420363T0000|96 101|TIMP-1
P01420363T0000|19 34|PEA3 binding sites
P01421145A1190|79 84|PCAT-1
P01421390T0000|18 79|recombinant human granulocyte-macrophage colony-stimulating factor
P01421609A1067|24 27|DMVA
P01422265A0263|85 88|IgG1
P01423454A0309|13 16|ANCA
P01425921A1286|96 119|primate consensus sequence
P01425921A1286|161 164|V1J1
P01426635A0496|18 22|ZFH-2
P01427034A0440|9 15|introns
P01427034A0440|90 97|S13 genes
P01427034A0440|9 15|introns
P01427034A0440|33 53|ribosomal protein genes
P01429596A1669|55 67|hemagglutinin
P01429624A0328|97 111|adenylylcyclase
P01429714A0730|0 3|Clin
P01429724A0664|22 43|minimal catalytic domain
P01429724A0664|46 49|Nmt1
P01429740A1065|56 75|lipoyl-bearing domain
P01429740A1065|112 127|functional E2 gene
P01429740A1065|92 97|exons I
P01429768T0000|0 14|Human neutrophil
P01429836A0457|12 23|microtubules
P01429836A0457|12 23|microtubules
P01429836A1205|34 50|GTP-binding domain
P01429836A1205|89 102|wild-type cells
P01431380A0244|260 293|species-specific monoclonal antibody
P01431380A0244|164 167|SFGR
P01431380A0244|305 318|hemolymph cells
P01431602A0229|104 108|HClO4
P01431809T0000|49 62|polyhedrin gene
P01433502A1163|121 143|enhancer-specific factor
P01433524A0788|26 48|C-terminal 437 amino acids
P01433524A0788|51 53|IE1
P01437562A0462|0 17|Anti-CRK antibodies
P01437562A0462|123 132|cloned gene
P01437562A0462|100 117|nucleotide sequence
P01438287T0000|48 63|recombinant genes
P01441818T0001|0 14|Interferon type I
P01443047A0773|79 84|Id-SCL
P01446828A1088|13 16|ADH5
P01446828A1088|52 84|transcriptional regulatory proteins
P01446828A1088|90 92|AP2
P01446828A1088|100 103|NF-1
P01446828A1088|114 118|NF-E1
P01446828A1088|105 109|NF-A2
P01446828A1088|94 98|LF-A1
P01446828A1088|86 88|Sp1
P01446828A1088|25 45|consensus binding sites
P01447189A1546|21 29|RNK-Met-1
P01447189A1546|95 118|large granular lymphocytes
P01447189T0000|30 43|serine protease
P01447189T0000|45 53|RNK-Met-1
P01448107A0361|61 64|GCN4
P01448917A0775|81 96|CPMV RNA 1 sequence
P01448917A0775|250 254|VPg 5'
P01448917A0775|155 162|CPSMV RNA
P01448932T0000|29 41|S12 transcript
P01450815A0337|29 32|IPRK
P01452037A0000|3 17|structural genes
P01452037A0000|108 147|N-terminal part of triosephosphate isomerase
P01452037A0000|26 41|glyceraldehyde-3
P01454518A0336|186 199|human ERCC3 cDNA
P01454819A0000|65 95|arginine ADP-ribosyltransferases
P01454819A0000|111 139|ADP-ribosylarginine hydrolases
P01456888A0074|87 89|p55
P01456888A0074|87 89|p55
P01457380A0000|94 113|primary ttk transcript
P01457695T0000|9 13|beta 2
